voltage,current,mAh,Wh,D+,D-,temperature,duration
9.18,0.0,3221,55.29,0.66,0.67,31,6:03:52
9.18,0.04,3221,55.29,0.66,0.67,31,6:03:53
9.17,0.07,3221,55.29,0.66,0.67,30,6:03:54
9.18,0.0,3221,55.29,0.66,0.67,31,6:03:54
9.18,0.0,3221,55.29,0.66,0.67,31,6:03:54
9.18,0.02,3221,55.29,0.66,0.67,31,6:03:55
9.17,0.03,3221,55.29,0.66,0.67,30,6:03:56
9.18,0.0,3221,55.29,0.66,0.67,31,6:03:56
9.19,0.02,3221,55.29,0.67,0.67,31,6:03:57
9.18,0.02,3221,55.29,0.66,0.67,30,6:03:58
9.19,0.02,3221,55.29,0.66,0.67,30,6:03:59
9.17,0.02,3221,55.29,0.66,0.67,31,6:04:00
9.18,0.02,3221,55.29,0.66,0.67,31,6:04:01
9.18,0.0,3221,55.29,0.66,0.67,30,6:04:01
9.18,0.02,3221,55.29,0.66,0.67,30,6:04:02
9.18,0.0,3221,55.29,0.66,0.67,31,6:04:02
9.18,0.02,3221,55.29,0.66,0.67,31,6:04:03
9.15,0.19,3221,55.29,0.66,0.67,31,6:04:04
9.18,0.0,3221,55.29,0.66,0.67,31,6:04:04
9.19,0.02,3221,55.29,0.67,0.67,31,6:04:05
9.18,0.03,3221,55.29,0.66,0.67,30,6:04:06
9.17,0.0,3221,55.29,0.66,0.66,29,6:04:06
9.18,0.0,3221,55.29,0.66,0.67,30,6:04:06
9.18,0.03,3221,55.29,0.66,0.67,30,6:04:07
9.19,0.02,3221,55.29,0.67,0.67,31,6:04:08
9.18,0.0,3221,55.29,0.67,0.67,31,6:04:08
9.19,0.02,3221,55.29,0.66,0.67,31,6:04:09
9.19,0.0,3221,55.29,0.66,0.67,30,6:04:09
9.16,0.21,3221,55.29,0.66,0.67,31,6:04:10
9.18,0.0,3221,55.29,0.66,0.67,30,6:04:10
9.18,0.0,3221,55.29,0.67,0.67,31,6:04:10
9.18,0.0,3221,55.29,0.66,0.67,31,6:04:10
9.18,0.03,3221,55.29,0.66,0.67,30,6:04:11
9.18,0.0,3221,55.29,0.67,0.67,30,6:04:11
9.17,0.0,3221,55.29,0.67,0.66,31,6:04:11
